objective,dm,x,y
4x,dm2,2.10859478904331,14.6491848501956
4x,dm3,-2.33055213525839,7.10263507888272
4x,dm4,-6.21480569402238,-13.2064620997976
4x,dm5,-5.43795498226959,-11.652760676292
10x,dm2,0.665872038645255,5.81528247083523
10x,dm3,-0.932220854103357,2.79666256231007
10x,dm4,-2.48592227760895,-5.28258483991902
10x,dm5,-2.0863990544218,-4.66110427051678
20x,dm2,0.377327488565643,2.9076412354176
20x,dm3,-0.466110427051677,1.39833128115503
20x,dm4,-1.24296113880447,-2.6412924199595
20x,dm5,-1.0653952618324,-2.33055213525838
30x,dm2,0.233795071346556,1.87923886462105
30x,dm3,-0.316659147266854,0.914464266406149
30x,dm4,-0.828640759202983,-1.77861820100355
30x,dm5,-0.707304076605403,-1.55962028607133
60x,dm2,0.138106793200496,0.966747552403472
60x,dm3,-0.138106793200496,0.473509005258843
60x,dm4,-0.414320379601488,-0.897694155803224
60x,dm5,-0.34526698300124,-0.759587362602728
